WORKTYPECODE,COUNTY,YEAR2018,YEAR2019,YEAR2020,B_Campo1,B_code,Description,Group,WTBIN1,WTBIN2,WTBIN3,WTBIN4,WTBIN5,WTBIN6,WTBIN7,WTBIN8,C_Campo1,District,No,C_code,Name,Unnamed: 5,CBIN1,CBIN2,CBIN3,CBIN4,CBIN5,CBIN6,CBIN7
1011,C052,0,0,0,0,1011,PCC Pavement - New,8,0,0,0,0,0,0,0,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
1011,C077,7721,0,0,0,1011,PCC Pavement - New,8,0,0,0,0,0,0,0,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
1012,C007,0,11663,0,1,1012,PCC Pavement - Replace,8,0,0,0,0,0,0,0,1,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
1012,C094,0,12200,0,1,1012,PCC Pavement - Replace,8,0,0,0,0,0,0,0,1,93,1,94,C094,Webster,Webster,1,0,1,1,1,0,1
1013,C006,15275,0,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
1013,C023,0,1642,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,22,6,23,C023,Clinton,Clinton,0,0,1,0,1,1,0
1013,C052,9525,0,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
1013,C077,0,8708,0,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
1013,C078,0,27500,74890,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
1013,C086,0,0,15178,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
1013,C090,0,5952,342,2,1013,PCC Pavement - Grade and New,8,0,0,0,0,0,0,1,0,89,5,90,C090,Wapello,Wapello,1,0,1,1,0,0,1
1014,C007,16997,5750,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
1014,C017,7076,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
1014,C027,13899,13814,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,26,5,27,C027,Decatur,Decatur,0,0,1,1,0,1,0
1014,C031,10009,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
1014,C043,0,30364,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,42,4,43,C043,Harrison,Harrison,0,1,0,1,0,1,0
1014,C075,9239,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,74,3,75,C075,Plymouth,Plymouth,1,0,0,1,0,1,0
1014,C078,31100,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
1014,C097,36891,0,0,3,1014,PCC Pavement - Grade and Replace,8,0,0,0,0,0,0,1,1,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
1021,C057,14988,0,0,4,1021,HMA Pavement - New,6,0,0,0,0,0,1,0,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
1511,C057,5004,0,0,12,1511,PCC Pavement Widening,8,0,0,0,0,1,1,0,0,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
