"V1","V2","V3","V4","V5","V6"
"W1051R","W1051R","3313344.05","233896","66266.88","7.05921258011223","1.99999996981901"
"W3511R","W3511R","11958388.42","300714.7","298959.71","2.51467580277845","2.49999999581883"
"W3511U","W3511U","8869533.39","227525.01","177390.67","2.56524216095205","2.00000002480401"
"W3522R","W3522R","395052.15","3800","0","0.961898321525399","0"
"W3552R","W3552R","7730785.49","201397.76","154615.71","2.60513967514057","2.00000000258706"
"W3571R","W3571R","287169","4550","0","1.58443286009284","0"
"W8024R","W8024R","87943.68","2550","0","2.89958300585102","0"
"W1021R","W1021R","1155278.74","25000","23105.57","2.16397992401384","1.99999958451585"
"W1023R","W1023R","3774930.3","129741.472","113247.91","3.4369236433319","3.00000002649056"
"W1024U","W1024U","1478320.45","65659.3","44349.61","4.44147951819242","2.99999976324484"
"W1024R","W1024R","289941.36","5800","5798.83","2.0004044955849","2.00000096571252"
"W1027R","W1027R","2598480.36","84220.2","77954.41","3.24113282888157","2.99999996921278"
"W1512R","W1512R","681764.05","33500","27270.56","4.91372345021712","3.99999970664338"
"W1522R","W1522R","2038775.1","40995.43","40775.5","2.01078726142967","1.99999990190188"
"W1522U","W1522U","12913290","778524.62","322832.25","6.02886344223664","2.5"
"W1523R","W1523R","5772559.6","107973","115451.19","1.87045275374896","1.99999996535332"
"W1523U","W1523U","6734949.71","610895.33","202048.49","9.07052548726455","2.9999999806977"
"W1524R","W1524R","2372186.84","72000","71165.61","3.03517407591722","3.00000020234494"
"W1524U","W1524U","9447480.32","760412.24","283424.41","8.04883645420497","3.00000000423393"
"W1525R","W1525R","3681738.87","78710.23","73634.78","2.13785476860829","2.00000007061881"
"W1525U","W1525U","3153174.72","32133.64","31531.75","1.0190884696678","1.00000008879939"
"W1527R","W1527R","3486225.64","435505.76","69724.51","12.4921851013637","1.99999991968391"
"W4021R","W4021R","2512165.34","235689.8","50243.31","9.38193821271334","2.00000012738015"
"W4021U","W4021U","2147665.36","161790","64429.96","7.53329652809598","2.99999996275025"
"W8022R","W8022R","1499000","59812.41","59960","3.99015410273516","4"
"W8031R","W8031R","275872.36","6538","5517.45","2.36993658951553","2.00000101496214"
"W1011R","W1011R","8908229.65","510246.64","267246.89","5.72781192276515","3.00000000561279"
"W1012U","W1012U","1282526.84","43350","38475.81","3.38004622187868","3.00000037426117"
"W1012R","W1012R","979679.88","24203.4","19593.6","2.47054170388801","2.00000024497798"
"W1013U","W1013U","21434596.33","661806.19","643037.89","3.08756078169633","3.00000000046654"
"W1013R","W1013R","1016797.75","30242","20335.96","2.97423946896027","2.00000049173988"
"W1014U","W1014U","699282.41","23585.75","20978.47","3.37285046251914","2.9999996710914"
"W1014R","W1014R","19772570.61","390663.39","395451.41","1.97578452344695","1.99999998887347"
"W1511R","W1511R","5394434.01","163024.03","161833.02","3.02207849234585","2.99999999443871"
"W1513R","W1513R","5857181.38","222202.92","175715.44","3.79368343891034","2.99999997609772"
"W1514R","W1514R","3172991.98","52524.85","31729.92","1.65537292029336","1.0000000063032"
"W1515R","W1515R","2544848.93","96834.65","50896.98","3.80512370924902","2.00000005501309"
"W1515U","W1515U","1732283.62","141665.2","34645.67","8.17794490257895","1.99999986145456"
"W4011R","W4011R","10858984.59","340349.22","325769.54","3.13426377189472","3.00000002118062"
